x,y,px,py
0.0,20.0,0.0,-1.0
-7.127215373607043e-11,19.940000000003653,-1.206316651676084e-10,-0.9999999998726727
-2.71887830156836e-10,19.88000000001517,-2.0801880973506973e-10,-0.9999999997374721
-5.42414551181773e-10,19.82000000003504,-2.3153163047459973e-10,-0.9999999995939113
-7.987261605557499e-10,19.76000000006378,-1.82642485674896e-10,-0.9999999994414729
-9.612990876416329e-10,19.700000000101934,-7.819066569294139e-11,-0.9999999992796083
-9.83247286823319e-10,19.640000000150096,4.522607155160153e-11,-0.9999999991077345
-8.672306080740364e-10,19.580000000208866,1.4386972924032986e-10,-0.9999999989252328
-6.651616573437151e-10,19.520000000278912,1.8214120189051726e-10,-0.9999999987314456
-4.606067015437496e-10,19.46000000036094,1.4518404383927508e-10,-0.9999999985256756
-3.398554219475123e-10,19.40000000045567,4.4352207689993756e-11,-0.9999999983071813
-3.616876717358044e-10,19.340000000563897,-8.646548408640883e-11,-0.9999999980751763
-5.364442411276455e-10,19.28000000068646,-2.0248308167017447e-10,-0.9999999978288248
-8.218676649767164e-10,19.22000000082424,-2.6362461074150375e-10,-0.9999999975672397
-1.137377018970372e-09,19.160000000978183,-2.4866484776709184e-10,-0.9999999972894791
-1.3919839072936727e-09,19.10000000114928,-1.629176782680186e-10,-0.9999999969945425
-1.5162061424465505e-09,19.040000001338598,-3.6692850726203633e-11,-0.999999996681368
-1.4868146483650132e-09,18.980000001547257,8.504804906340209e-11,-0.999999996348828
-1.3356324634374519e-09,18.920000001776465,1.5830819761379054e-10,-0.9999999959957249
-1.139102104244738e-09,18.860000002027487,1.5552138577484638e-10,-0.9999999956207871
-9.920550332600728e-10,18.800000002301662,7.54313147391252e-11,-0.9999999952226645
-9.747090713986477e-10,18.740000002600436,-5.61542222629551e-11,-0.9999999947999233
-1.1244079270629121e-09,18.680000002925322,-1.9510940055295346e-10,-0.9999999943510413
-1.4220898367531336e-09,18.620000003277944,-2.9427838424666845e-10,-0.9999999938744022
-1.7984177452621888e-09,18.560000003660015,-3.200127851208198e-10,-0.9999999933682892
-2.157654863002442e-09,18.50000000407335,-2.641631731858025e-10,-0.9999999928308798
-2.411111445965762e-09,18.440000004519877,-1.4725654412340378e-10,-0.9999999922602392
-2.5085271424187724e-09,18.38000000500166,-1.163698115457456e-11,-0.9999999916543115
-2.4563381983636995e-09,18.32000000552086,9.31415445860579e-11,-0.9999999910109159
-2.3162535226880286e-09,18.26000000607981,1.2763143073632797e-10,-0.9999999903277347
-2.1844028241250097e-09,18.200000006680966,7.646530495943548e-11,-0.9999999896023077
-2.1581493042947307e-09,18.140000007326936,-4.5962634910074124e-11,-0.9999999888320231
-2.3020791189010316e-09,18.080000008020487,-2.0020406771624674e-10,-0.9999999880141068
-2.62510803829734e-09,18.020000008764566,-3.353242177312849e-10,-0.9999999871456137
-3.076883821442205e-09,17.9600000095623,-4.066696688785417e-10,-0.9999999862234156
-3.56498195603924e-09,17.900000010417,-3.916442759824063e-10,-0.999999985244192
-3.987104725977409e-09,17.840000011332194,-2.9792625902287244e-10,-0.9999999842044164
-4.267152274217077e-09,17.780000012311625,-1.611481975163099e-10,-0.9999999831003449
-4.382539604858085e-09,17.720000013359257,-3.272794317132988e-11,-0.9999999819280013
-4.373056910910373e-09,17.660000014479305,3.79927201781972e-11,-0.9999999806831639
-4.3279383848409724e-09,17.60000001567626,2.1094680297314922e-11,-0.9999999793613502
-4.355421000053887e-09,17.540000016954856,-8.318768341245045e-11,-0.9999999779577999
-4.545278690597491e-09,17.48000001832016,-2.4420166933768836e-10,-0.9999999764674593
-4.937412085485438e-09,17.420000019777525,-4.1129683109391773e-10,-0.9999999748849612
-5.507604249460654e-09,17.360000021332652,-5.313986828292575e-10,-0.9999999732046068
-6.175655719675753e-09,17.300000022991586,-5.676473535437301e-10,-0.999999971420345
-6.833312095049059e-09,17.24000002476075,-5.125653672347579e-10,-0.9999999695257508
-7.382412132541313e-09,17.180000026646937,-3.9106206046948323e-10,-0.9999999675140011
-7.769977872429627e-09,17.120000028657408,-2.5209645044953786e-10,-0.9999999653778522
-8.00788259055632e-09,17.060000030799834,-1.5179104046012e-10,-0.9999999631096111
-8.17000189149285e-09,17.000000033082383,-1.3382649526723982e-10,-0.9999999607011096
-8.367579113984536e-09,16.940000035513716,-2.1397285810817237e-10,-0.9999999581436748
-8.71119963193552e-09,16.880000038103038,-3.7424233851580603e-10,-0.9999999554280969
-9.272575077502992e-09,16.82000004086011,-5.688343348655649e-10,-0.9999999525445973
-1.0059564750157323e-08,16.760000043795305,-7.399263216548637e-10,-0.9999999494827917
-1.1013372741719123e-08,16.70000004691965,-8.37881374437767e-10,-0.9999999462316549
