x,y,px,py
0.0,20.0,0.0,-10.0
-8.531356204876316e-11,19.400000000004365,-1.6014341186038304e-10,-9.999999999832244
-4.0820119369876186e-10,18.800000000022386,-4.005494515825544e-10,-9.999999999526564
-1.0771933253271143e-09,18.200000000065288,-7.483739437213182e-10,-9.999999998969585
-2.2606604383689117e-09,17.60000000015352,-1.2843298405429444e-09,-9.999999997954703
-4.2764702294940875e-09,17.000000000324363,-2.189763967185055e-09,-9.999999996105462
-7.751950100739218e-09,16.400000000645726,-3.82042944527832e-09,-9.999999992735919
-1.3898892778235324e-08,15.800000001241346,-6.831904227333513e-09,-9.999999986596208
-2.4990750047859937e-08,15.200000002336713,-1.2405318065576498e-08,-9.999999975408933
-4.520911041786738e-08,14.60000000434267,-2.266311523668552e-08,-9.999999955024387
-8.217202979324622e-08,14.000000008007834,-4.143686685313373e-08,-9.999999917881324
-1.497187983164084e-07,13.40000001469627,-7.567881155567172e-08,-9.999999850202258
-2.729982815706176e-07,12.80000002689346,-1.3804423341247322e-07,-9.99999972688297
-4.977640359668256e-07,12.200000049128253,-2.516014534718905e-07,-9.999999502180627
-9.073358765436727e-07,11.60000008965274,-4.584110958752247e-07,-9.999999092746394
-1.6535231035853963e-06,11.000000163503222,-8.351490161174522e-07,-9.999998346709056
-3.0129736819726652e-06,10.400000298077558,-1.5215600885400773e-06,-9.999996987341957
-5.489836745315484e-06,9.800000543297791,-2.772291766074591e-06,-9.999994510418771
-1.000279994910832e-05,9.200000990127421,-5.051331272479107e-06,-9.999989997187633
-1.82258568841687e-05,8.60000180431136,-9.204071550246509e-06,-9.999981773601302
-3.320916971145962e-05,8.000003287852016,-1.6770807836430275e-05,-9.999966789439217
-6.051022879574511e-05,7.40000599101862,-3.055785765021412e-05,-9.999939487143816
-0.00011025457522149781,6.800010916417175,-5.56778211083621e-05,-9.99988974120315
-0.0002008893987950493,6.2000198907492505,-0.00010144373647354762,-9.999799105111407
-0.0003660187366558745,5.600036241932152,-0.00018481604182204008,-9.999633978362027
-0.0006668436725193847,5.000066032001212,-0.00033666869347828135,-9.99933317406807
-0.001214782212258954,4.400120300648279,-0.0006131582038274278,-9.998785325939197
-0.0022125274347603993,3.800219143416747,-0.0011162785673224896,-9.997787920666482
-0.004028337599269238,3.200399110218392,-0.0020307835121177505,-9.9959733097257
-0.007329676286538031,2.6007265791722465,-0.0036897150991522256,-9.992676066900387
-0.013321053776037609,2.001321772999183,-0.006688094528084189,-9.986698408067609
-0.0241589520161386,1.402401370120753,-0.012071678176268707,-9.975905749166591
-0.04364875123320604,0.8043524488360869,-0.02162303249016314,-9.956562509281268
-0.07833063881395622,0.2078556262624758,-0.03820894395706108,-9.922343082682602
-0.13891522493014535,-0.385925290006127,-0.06593356000427779,-9.863155280634736
-0.2414438320913363,-0.9750934951986601,-0.10929393602843206,-9.764541775481595
-0.406141684781814,-1.5567922652592803,-0.1698141342199237,-9.609514624952697
-0.6502701521440915,-2.127209625929972,-0.23948192832885043,-9.384702235595805
-0.9732237064266596,-2.682029999750105,-0.2960230573537569,-9.087973398346737
-1.3426307394734918,-3.2171473898230007,-0.3116144481904868,-8.727349073106915
-1.7007921639835397,-3.728898656571822,-0.2768964554617918,-8.306312850703067
-1.9995088265594292,-4.213300417807019,-0.2194274221407636,-7.808479915839654
-2.241560875007177,-4.6647953397129465,-0.1923541839471103,-7.199746363426501
-2.4861883983177844,-5.075951710072798,-0.22506385487712063,-6.460076347431823
-2.785579174471532,-5.4396900754711375,-0.26951197294840185,-5.627759188651539
-3.101734135025926,-5.752607405779276,-0.23982273434964585,-4.775096981901182
-3.330538657558986,-6.014366570567731,-0.13070719821991444,-3.917216542471394
-3.426322012261103,-6.223135751407972,-0.03854196654699262,-2.9934835678059453
-3.4677710483644164,-6.373067991368799,-0.04828705320741064,-1.9501032693631246
-3.559677023972259,-6.458005611224121,-0.101111758227221,-0.8453032030971153
-3.670132219773874,-6.477970515761521,-0.059799307182249795,0.19847601000441736
-3.66662041524592,-6.437790170551202,0.07655550751642819,1.1667915220020795
-3.5073206470696943,-6.33959826446494,0.1740444850168873,2.1492149491154144
-3.3034450586414636,-6.180454890352383,0.146024742806085,3.1990336632291143
-3.170119094434486,-5.958096579936887,0.08238812881617061,4.2323590525603185
-3.061976471190039,-5.677305351022554,0.1200257310785032,5.131153837020362
-2.8496406222700954,-5.346683679208913,0.24301282989279246,5.899704609933387
-2.4970588609612747,-4.971832566798784,0.3326105443594851,6.616643725670345
-2.098242379247257,-4.5541859540974245,0.3132463515979787,7.326747132325764
-1.770520670666592,-4.094877854220115,0.2278407615818612,7.991498261997259
-1.5340329291249584,-3.598825650666394,0.1762986610440506,8.538309441475636
-1.3170069285906918,-3.0740274626981012,0.1963392233756281,8.947601275200155
-1.050322838211595,-2.527943298414085,0.25086868496235415,9.25116318337751
-0.7250572194317536,-1.9657965658259136,0.2853845469026136,9.485651359780585
-0.3871976944576951,-1.3910469308687654,0.26744746477047365,9.671607517745121
-0.10275789641944061,-0.806384816939504,0.19703019061916993,9.814841602226755
0.07738530216289961,-0.2143567021351103,0.09763402914118,9.915960205295484
0.13615626638262843,0.38260482346459357,-0.0003659221686660146,9.979269000003526
0.09061146320449734,0.9824932647933751,-0.07195846503378671,10.01445030313663
-0.01780231402838633,1.58394137775393,-0.10222713498330945,10.032325332751755
-0.13642174228817203,2.1861645999687735,-0.08798665590134083,10.041035206667217
-0.21592787558709278,2.7887657049584633,-0.03834050740827415,10.045326327784503
-0.2242410940121065,3.3915568368487428,0.027387995554581036,10.047559218207256
-0.15586270469552413,3.9944500942814885,0.08524385581219329,10.04881314336288
-0.03305334687860202,4.597402571603616,0.11433517064038562,10.049567838110287
0.10214131095935632,5.200391403814927,0.10388241560243851,10.050039171418055
0.20263637907567006,5.803402940791721,0.05697947699159252,10.050330957269226
0.2328781691947325,6.406428257360108,-0.010391982552331279,10.050502482958033
0.18150926985402535,7.009461414979436,-0.07484891831111713,10.050595836706831
0.06566596357449064,7.61249869786125,-0.11374016418935437,10.050642924103496
-0.07468705755245927,8.215538012543577,-0.11311391044973862,10.050665545359161
-0.19051138785597485,8.818578297850037,-0.07272565345850324,10.050676371297717
-0.24080601332610543,9.421619054644493,-0.006292296185008001,10.050681782179888
-0.20710445010900044,10.024660054494946,0.06315606912741777,10.050684700611148
-0.10023203902630645,10.627701190315852,0.11125368118996597,10.05068640957907
0.043145395939136647,11.23074240809832,0.12084307620814284,10.050687471106263
0.17309291727019294,11.833783677337468,0.08809000361790478,10.050688140276533
0.24379136894654796,12.436824978640953,0.023991215017279032,10.050688547725434
0.22968584169607323,13.039866298900304,-0.049310366325208646,10.050688778529722
0.13470906267987237,13.64290762950788,-0.10617113640658293,10.05068889860891
-0.008744487173222388,14.245948965330978,-0.1264145225204994,10.050688956933445
-0.15085695943818986,14.848990303647454,-0.10248606130628914,10.050688984476622
-0.24168049598838418,15.452031643148068,-0.0422600163201732,10.050688997789463
-0.248684977563138,16.05507298323602,0.033541060493550726,10.050689004673737
-0.16839777892600483,16.65811432363938,0.09847219577580224,10.050689008563243
-0.02797456436912936,17.261155664227548,0.12958845259513962,10.050689010939289
0.12397229986184694,17.864197004931082,0.11554894280809802,10.050689012449766
0.23419489719730827,18.467238345707877,0.060741525982025604,10.050689013398014
0.2634626334640982,19.07027968652959,-0.01606905545713844,10.050689013958308
0.20051519379121402,19.673321027376872,-0.08816071734151808,10.050689014261522
0.06635644898545866,20.27636236823748,-0.130146885465012,10.050689014412216
-0.09273593627624356,20.879403709104537,-0.126912262999511,10.050689014483245
-0.22116528315920267,21.482445049974622,-0.07904759521022976,10.050689014516676
-0.27343749323549926,22.085486390846153,-0.002831658413370325,10.05068901453325
-0.23026746122981423,22.688527731718427,0.07529900567110388,10.050689014542213
-0.10567125960657696,23.291569072591127,0.1279160594826128,10.05068901454753
0.057556554171632836,23.894610413464083,0.13622442958227876,10.050689014550898
0.20253162059867394,24.497651754337205,0.09677020358865315,10.050689014553061
0.2780962267546054,25.10069309521043,0.02283931825996372,10.050689014554397
0.25686283602379145,25.703734436083725,-0.060008469002474335,10.05068901455515
0.14512365351760476,26.306775776957043,-0.12277195118745969,10.050689014555537
-0.0189536937513674,26.90981711783036,-0.14315660032729902,10.050689014555724
-0.17835177826609347,27.51285845870368,-0.1134887573053523,10.05068901455581
-0.2770091282237692,28.115899799576997,-0.043588247858971654,10.050689014555848
-0.2795291324926072,28.718941140450315,0.04247072202164457,10.050689014555875
-0.18386614198625173,29.321982481323634,0.11464608166344187,10.050689014555875
-0.02244671227801644,29.925023822196952,0.14741124480907336,10.050689014555875
0.1488075355611866,30.52806516307027,0.12877844836380925,10.050689014555875
0.2698445946739366,31.131106503943588,0.06467408318330073,10.050689014555875
0.2975316792093428,31.734147844816906,-0.022927363522138096,10.050689014555875
0.2210142496989918,32.33718918569023,-0.10353043365813659,10.050689014555875
0.06591933987629903,32.940230526563546,-0.14873053410998188,10.050689014555875
-0.11420829973117685,33.543271867436864,-0.14221921028754997,10.050689014555875
-0.2563823858770761,34.14631320831018,-0.08566015385441869,10.050689014555875
-0.3101915784686242,34.7493545491835,0.0016784427096894188,10.050689014555875
-0.2556634189106628,35.35239589005682,0.089481363188534,10.050689014555875
-0.11064906697459373,35.95543723093014,0.1469043891787876,10.050689014555875
0.07499228220155628,36.558478571803455,0.15340512538452045,10.050689014555875
0.23652528693991606,37.16151991267677,0.10608496046278348,10.050689014555875
0.31690388398863767,37.76456125355009,0.020920437713895706,10.050689014555875
0.2869073940802667,38.36760259442341,-0.07262235614282084,10.050689014555875
0.15574310803805325,38.97064393529673,-0.14177799063674804,10.050689014555875
-0.03172495303519614,39.573685276170046,-0.16195410652696896,10.050689014555875
-0.21030882261188205,40.176726617043364,-0.1254706528103181,10.050689014555875
-0.3171552978077848,40.77976795791668,-0.04446240287400903,10.050689014555875
-0.3138577798370968,41.38280929879,0.05314549878334052,10.050689014555875
-0.20024558381160987,41.98585063966332,0.13325855385753646,10.050689014555875
-0.014905361268328922,42.58889198053664,0.16751766038211457,10.050689014555875
0.17790869206341586,43.191933321409955,0.14333238701383932,10.050689014555875
0.31054097266518266,43.79497466228327,0.06849496415145162,10.050689014555875
0.33566442044943123,44.39801600315659,-0.03131155073711125,10.050689014555875
